dataset,model,fold,subject,minutes,adapt_thr
MASS-SS2-E1SS,v2_time,0,2,3.00,0.08
MASS-SS2-E1SS,v2_time,0,2,5.00,0.32
MASS-SS2-E1SS,v2_time,0,2,7.50,0.32
MASS-SS2-E1SS,v2_time,0,2,10.00,0.18
MASS-SS2-E1SS,v2_time,0,2,15.00,0.18
MASS-SS2-E1SS,v2_time,0,2,20.00,0.18
MASS-SS2-E1SS,v2_time,0,2,25.00,0.18
MASS-SS2-E1SS,v2_time,0,2,30.00,0.18
MASS-SS2-E1SS,v2_time,0,9,3.00,0.56
MASS-SS2-E1SS,v2_time,0,9,5.00,0.44
MASS-SS2-E1SS,v2_time,0,9,7.50,0.52
MASS-SS2-E1SS,v2_time,0,9,10.00,0.52
MASS-SS2-E1SS,v2_time,0,9,15.00,0.52
MASS-SS2-E1SS,v2_time,0,9,20.00,0.52
MASS-SS2-E1SS,v2_time,0,9,25.00,0.50
MASS-SS2-E1SS,v2_time,0,9,30.00,0.40
MASS-SS2-E1SS,v2_time,0,11,3.00,0.76
MASS-SS2-E1SS,v2_time,0,11,5.00,0.76
MASS-SS2-E1SS,v2_time,0,11,7.50,0.76
MASS-SS2-E1SS,v2_time,0,11,10.00,0.66
MASS-SS2-E1SS,v2_time,0,11,15.00,0.76
MASS-SS2-E1SS,v2_time,0,11,20.00,0.76
MASS-SS2-E1SS,v2_time,0,11,25.00,0.66
MASS-SS2-E1SS,v2_time,0,11,30.00,0.66
MASS-SS2-E1SS,v2_time,1,6,3.00,0.40
MASS-SS2-E1SS,v2_time,1,6,5.00,0.26
MASS-SS2-E1SS,v2_time,1,6,7.50,0.26
MASS-SS2-E1SS,v2_time,1,6,10.00,0.58
MASS-SS2-E1SS,v2_time,1,6,15.00,0.58
MASS-SS2-E1SS,v2_time,1,6,20.00,0.54
MASS-SS2-E1SS,v2_time,1,6,25.00,0.56
MASS-SS2-E1SS,v2_time,1,6,30.00,0.50
MASS-SS2-E1SS,v2_time,1,12,3.00,0.48
MASS-SS2-E1SS,v2_time,1,12,5.00,0.52
MASS-SS2-E1SS,v2_time,1,12,7.50,0.40
MASS-SS2-E1SS,v2_time,1,12,10.00,0.36
MASS-SS2-E1SS,v2_time,1,12,15.00,0.58
MASS-SS2-E1SS,v2_time,1,12,20.00,0.32
MASS-SS2-E1SS,v2_time,1,12,25.00,0.32
MASS-SS2-E1SS,v2_time,1,12,30.00,0.32
MASS-SS2-E1SS,v2_time,1,19,3.00,0.04
MASS-SS2-E1SS,v2_time,1,19,5.00,0.64
MASS-SS2-E1SS,v2_time,1,19,7.50,0.66
MASS-SS2-E1SS,v2_time,1,19,10.00,0.64
MASS-SS2-E1SS,v2_time,1,19,15.00,0.64
MASS-SS2-E1SS,v2_time,1,19,20.00,0.64
MASS-SS2-E1SS,v2_time,1,19,25.00,0.66
MASS-SS2-E1SS,v2_time,1,19,30.00,0.60
MASS-SS2-E1SS,v2_time,2,3,3.00,0.26
MASS-SS2-E1SS,v2_time,2,3,5.00,0.86
MASS-SS2-E1SS,v2_time,2,3,7.50,0.86
MASS-SS2-E1SS,v2_time,2,3,10.00,0.86
MASS-SS2-E1SS,v2_time,2,3,15.00,0.52
MASS-SS2-E1SS,v2_time,2,3,20.00,0.52
MASS-SS2-E1SS,v2_time,2,3,25.00,0.52
MASS-SS2-E1SS,v2_time,2,3,30.00,0.34
MASS-SS2-E1SS,v2_time,2,13,3.00,0.64
MASS-SS2-E1SS,v2_time,2,13,5.00,0.94
MASS-SS2-E1SS,v2_time,2,13,7.50,0.82
MASS-SS2-E1SS,v2_time,2,13,10.00,0.70
MASS-SS2-E1SS,v2_time,2,13,15.00,0.70
MASS-SS2-E1SS,v2_time,2,13,20.00,0.70
MASS-SS2-E1SS,v2_time,2,13,25.00,0.70
MASS-SS2-E1SS,v2_time,2,13,30.00,0.70
MASS-SS2-E1SS,v2_time,2,18,3.00,0.44
MASS-SS2-E1SS,v2_time,2,18,5.00,0.28
MASS-SS2-E1SS,v2_time,2,18,7.50,0.28
MASS-SS2-E1SS,v2_time,2,18,10.00,0.28
MASS-SS2-E1SS,v2_time,2,18,15.00,0.28
MASS-SS2-E1SS,v2_time,2,18,20.00,0.28
MASS-SS2-E1SS,v2_time,2,18,25.00,0.28
MASS-SS2-E1SS,v2_time,2,18,30.00,0.40
MASS-SS2-E1SS,v2_time,3,5,3.00,0.58
MASS-SS2-E1SS,v2_time,3,5,5.00,0.62
MASS-SS2-E1SS,v2_time,3,5,7.50,0.62
MASS-SS2-E1SS,v2_time,3,5,10.00,0.58
MASS-SS2-E1SS,v2_time,3,5,15.00,0.58
MASS-SS2-E1SS,v2_time,3,5,20.00,0.58
MASS-SS2-E1SS,v2_time,3,5,25.00,0.58
MASS-SS2-E1SS,v2_time,3,5,30.00,0.58
MASS-SS2-E1SS,v2_time,3,10,3.00,0.04
MASS-SS2-E1SS,v2_time,3,10,5.00,0.68
MASS-SS2-E1SS,v2_time,3,10,7.50,0.68
MASS-SS2-E1SS,v2_time,3,10,10.00,0.66
MASS-SS2-E1SS,v2_time,3,10,15.00,0.66
MASS-SS2-E1SS,v2_time,3,10,20.00,0.72
MASS-SS2-E1SS,v2_time,3,10,25.00,0.72
MASS-SS2-E1SS,v2_time,3,10,30.00,0.72
MASS-SS2-E1SS,v2_time,3,14,3.00,0.72
MASS-SS2-E1SS,v2_time,3,14,5.00,0.76
MASS-SS2-E1SS,v2_time,3,14,7.50,0.84
MASS-SS2-E1SS,v2_time,3,14,10.00,0.84
MASS-SS2-E1SS,v2_time,3,14,15.00,0.86
MASS-SS2-E1SS,v2_time,3,14,20.00,0.90
MASS-SS2-E1SS,v2_time,3,14,25.00,0.90
MASS-SS2-E1SS,v2_time,3,14,30.00,0.90
MASS-SS2-E1SS,v2_time,4,1,3.00,0.52
MASS-SS2-E1SS,v2_time,4,1,5.00,0.52
MASS-SS2-E1SS,v2_time,4,1,7.50,0.52
MASS-SS2-E1SS,v2_time,4,1,10.00,0.52
MASS-SS2-E1SS,v2_time,4,1,15.00,0.52
MASS-SS2-E1SS,v2_time,4,1,20.00,0.52
MASS-SS2-E1SS,v2_time,4,1,25.00,0.52
MASS-SS2-E1SS,v2_time,4,1,30.00,0.54
MASS-SS2-E1SS,v2_time,4,7,3.00,0.18
MASS-SS2-E1SS,v2_time,4,7,5.00,0.18
MASS-SS2-E1SS,v2_time,4,7,7.50,0.20
MASS-SS2-E1SS,v2_time,4,7,10.00,0.20
MASS-SS2-E1SS,v2_time,4,7,15.00,0.18
MASS-SS2-E1SS,v2_time,4,7,20.00,0.16
MASS-SS2-E1SS,v2_time,4,7,25.00,0.20
MASS-SS2-E1SS,v2_time,4,7,30.00,0.18
MASS-SS2-E1SS,v2_time,4,17,3.00,0.82
MASS-SS2-E1SS,v2_time,4,17,5.00,0.82
MASS-SS2-E1SS,v2_time,4,17,7.50,0.82
MASS-SS2-E1SS,v2_time,4,17,10.00,0.82
MASS-SS2-E1SS,v2_time,4,17,15.00,0.82
MASS-SS2-E1SS,v2_time,4,17,20.00,0.82
MASS-SS2-E1SS,v2_time,4,17,25.00,0.82
MASS-SS2-E1SS,v2_time,4,17,30.00,0.82
MASS-SS2-E1SS,v2_time,5,5,3.00,0.62
MASS-SS2-E1SS,v2_time,5,5,5.00,0.62
MASS-SS2-E1SS,v2_time,5,5,7.50,0.28
MASS-SS2-E1SS,v2_time,5,5,10.00,0.46
MASS-SS2-E1SS,v2_time,5,5,15.00,0.56
MASS-SS2-E1SS,v2_time,5,5,20.00,0.56
MASS-SS2-E1SS,v2_time,5,5,25.00,0.58
MASS-SS2-E1SS,v2_time,5,5,30.00,0.48
MASS-SS2-E1SS,v2_time,5,9,3.00,0.74
MASS-SS2-E1SS,v2_time,5,9,5.00,0.42
MASS-SS2-E1SS,v2_time,5,9,7.50,0.58
MASS-SS2-E1SS,v2_time,5,9,10.00,0.58
MASS-SS2-E1SS,v2_time,5,9,15.00,0.52
MASS-SS2-E1SS,v2_time,5,9,20.00,0.52
MASS-SS2-E1SS,v2_time,5,9,25.00,0.52
MASS-SS2-E1SS,v2_time,5,9,30.00,0.42
MASS-SS2-E1SS,v2_time,5,10,3.00,0.12
MASS-SS2-E1SS,v2_time,5,10,5.00,0.46
MASS-SS2-E1SS,v2_time,5,10,7.50,0.52
MASS-SS2-E1SS,v2_time,5,10,10.00,0.52
MASS-SS2-E1SS,v2_time,5,10,15.00,0.46
MASS-SS2-E1SS,v2_time,5,10,20.00,0.48
MASS-SS2-E1SS,v2_time,5,10,25.00,0.48
MASS-SS2-E1SS,v2_time,5,10,30.00,0.48
MASS-SS2-E1SS,v2_time,6,3,3.00,0.34
MASS-SS2-E1SS,v2_time,6,3,5.00,0.42
MASS-SS2-E1SS,v2_time,6,3,7.50,0.52
MASS-SS2-E1SS,v2_time,6,3,10.00,0.52
MASS-SS2-E1SS,v2_time,6,3,15.00,0.74
MASS-SS2-E1SS,v2_time,6,3,20.00,0.74
MASS-SS2-E1SS,v2_time,6,3,25.00,0.44
MASS-SS2-E1SS,v2_time,6,3,30.00,0.46
MASS-SS2-E1SS,v2_time,6,6,3.00,0.44
MASS-SS2-E1SS,v2_time,6,6,5.00,0.44
MASS-SS2-E1SS,v2_time,6,6,7.50,0.44
MASS-SS2-E1SS,v2_time,6,6,10.00,0.62
MASS-SS2-E1SS,v2_time,6,6,15.00,0.62
MASS-SS2-E1SS,v2_time,6,6,20.00,0.62
MASS-SS2-E1SS,v2_time,6,6,25.00,0.62
MASS-SS2-E1SS,v2_time,6,6,30.00,0.30
MASS-SS2-E1SS,v2_time,6,13,3.00,0.48
MASS-SS2-E1SS,v2_time,6,13,5.00,0.88
MASS-SS2-E1SS,v2_time,6,13,7.50,0.78
MASS-SS2-E1SS,v2_time,6,13,10.00,0.54
MASS-SS2-E1SS,v2_time,6,13,15.00,0.76
MASS-SS2-E1SS,v2_time,6,13,20.00,0.76
MASS-SS2-E1SS,v2_time,6,13,25.00,0.76
MASS-SS2-E1SS,v2_time,6,13,30.00,0.58
