dataset,model,fold,subject,cheat_thr
MASS-SS2-E1SS,v2_time,0,2,0.44
MASS-SS2-E1SS,v2_time,0,9,0.28
MASS-SS2-E1SS,v2_time,0,11,0.64
MASS-SS2-E1SS,v2_time,1,6,0.46
MASS-SS2-E1SS,v2_time,1,12,0.56
MASS-SS2-E1SS,v2_time,1,19,0.72
MASS-SS2-E1SS,v2_time,2,3,0.36
MASS-SS2-E1SS,v2_time,2,13,0.70
MASS-SS2-E1SS,v2_time,2,18,0.48
MASS-SS2-E1SS,v2_time,3,5,0.50
MASS-SS2-E1SS,v2_time,3,10,0.64
MASS-SS2-E1SS,v2_time,3,14,0.90
MASS-SS2-E1SS,v2_time,4,1,0.42
MASS-SS2-E1SS,v2_time,4,7,0.42
MASS-SS2-E1SS,v2_time,4,17,0.52
MASS-SS2-E1SS,v2_time,5,5,0.42
MASS-SS2-E1SS,v2_time,5,9,0.36
MASS-SS2-E1SS,v2_time,5,10,0.54
MASS-SS2-E1SS,v2_time,6,3,0.46
MASS-SS2-E1SS,v2_time,6,6,0.52
MASS-SS2-E1SS,v2_time,6,13,0.66
MASS-SS2-E1SS,v2_time,7,1,0.40
MASS-SS2-E1SS,v2_time,7,2,0.46
MASS-SS2-E1SS,v2_time,7,18,0.40
MASS-SS2-E1SS,v2_time,8,11,0.52
MASS-SS2-E1SS,v2_time,8,12,0.58
MASS-SS2-E1SS,v2_time,8,19,0.68
MASS-SS2-E1SS,v2_time,9,7,0.54
MASS-SS2-E1SS,v2_time,9,14,0.88
MASS-SS2-E1SS,v2_time,9,17,0.56
MASS-SS2-E1SS,v2_time,10,6,0.42
MASS-SS2-E1SS,v2_time,10,7,0.56
MASS-SS2-E1SS,v2_time,10,14,0.86
MASS-SS2-E1SS,v2_time,11,1,0.38
MASS-SS2-E1SS,v2_time,11,5,0.32
MASS-SS2-E1SS,v2_time,11,12,0.54
MASS-SS2-E1SS,v2_time,12,2,0.48
MASS-SS2-E1SS,v2_time,12,10,0.56
MASS-SS2-E1SS,v2_time,12,13,0.64
MASS-SS2-E1SS,v2_time,13,3,0.62
MASS-SS2-E1SS,v2_time,13,9,0.40
MASS-SS2-E1SS,v2_time,13,17,0.64
MASS-SS2-E1SS,v2_time,14,11,0.62
MASS-SS2-E1SS,v2_time,14,18,0.32
MASS-SS2-E1SS,v2_time,14,19,0.68
MASS-SS2-E1SS,v2_cwt1d,0,2,0.42
MASS-SS2-E1SS,v2_cwt1d,0,9,0.38
MASS-SS2-E1SS,v2_cwt1d,0,11,0.56
MASS-SS2-E1SS,v2_cwt1d,1,6,0.52
MASS-SS2-E1SS,v2_cwt1d,1,12,0.50
MASS-SS2-E1SS,v2_cwt1d,1,19,0.76
MASS-SS2-E1SS,v2_cwt1d,2,3,0.44
MASS-SS2-E1SS,v2_cwt1d,2,13,0.66
MASS-SS2-E1SS,v2_cwt1d,2,18,0.46
MASS-SS2-E1SS,v2_cwt1d,3,5,0.46
MASS-SS2-E1SS,v2_cwt1d,3,10,0.72
MASS-SS2-E1SS,v2_cwt1d,3,14,0.86
MASS-SS2-E1SS,v2_cwt1d,4,1,0.44
MASS-SS2-E1SS,v2_cwt1d,4,7,0.48
MASS-SS2-E1SS,v2_cwt1d,4,17,0.56
MASS-SS2-E1SS,v2_cwt1d,5,5,0.34
MASS-SS2-E1SS,v2_cwt1d,5,9,0.38
MASS-SS2-E1SS,v2_cwt1d,5,10,0.56
MASS-SS2-E1SS,v2_cwt1d,6,3,0.54
MASS-SS2-E1SS,v2_cwt1d,6,6,0.60
MASS-SS2-E1SS,v2_cwt1d,6,13,0.76
MASS-SS2-E1SS,v2_cwt1d,7,1,0.34
MASS-SS2-E1SS,v2_cwt1d,7,2,0.30
MASS-SS2-E1SS,v2_cwt1d,7,18,0.34
MASS-SS2-E1SS,v2_cwt1d,8,11,0.60
MASS-SS2-E1SS,v2_cwt1d,8,12,0.64
MASS-SS2-E1SS,v2_cwt1d,8,19,0.58
MASS-SS2-E1SS,v2_cwt1d,9,7,0.56
MASS-SS2-E1SS,v2_cwt1d,9,14,0.88
MASS-SS2-E1SS,v2_cwt1d,9,17,0.66
MASS-SS2-E1SS,v2_cwt1d,10,6,0.50
MASS-SS2-E1SS,v2_cwt1d,10,7,0.58
MASS-SS2-E1SS,v2_cwt1d,10,14,0.84
MASS-SS2-E1SS,v2_cwt1d,11,1,0.32
MASS-SS2-E1SS,v2_cwt1d,11,5,0.30
MASS-SS2-E1SS,v2_cwt1d,11,12,0.66
MASS-SS2-E1SS,v2_cwt1d,12,2,0.48
MASS-SS2-E1SS,v2_cwt1d,12,10,0.58
MASS-SS2-E1SS,v2_cwt1d,12,13,0.60
MASS-SS2-E1SS,v2_cwt1d,13,3,0.56
MASS-SS2-E1SS,v2_cwt1d,13,9,0.40
MASS-SS2-E1SS,v2_cwt1d,13,17,0.60
MASS-SS2-E1SS,v2_cwt1d,14,11,0.72
MASS-SS2-E1SS,v2_cwt1d,14,18,0.36
MASS-SS2-E1SS,v2_cwt1d,14,19,0.68
MASS-SS2-E2SS,v2_time,0,2,0.48
MASS-SS2-E2SS,v2_time,0,9,0.44
