idx_start,idx_end,dt_start,dt_end,t_start,t_end
20006,,,,,
20011,,,,,2895.4
20019,,,,2956.2,
20021,,,,,
20023,,,,,2968.4
20025,,,,,
10016,,,,,
10017,,,,,
10018,,,,,
20036,,,,,
10024,,,,,
20038,,,,,
10025,,,,,
20048,,,,,
10026,,,,,
20052,,,,,
10032,,,,,
10033,20062,,,,
20067,,,,,
20075,,,,,
20077,,,,,
20090,,,,,
10041,,,,,
20094,,,,,
20098,,,,,3192.6
20101,,,,,
10052,,,,,
10053,,,,,
20108,,,,,
10062,,,,,
20117,10063,,,,
20124,,,,,
10070,,,,,
10073,,,,,
20137,,,,,
10096,,,,,
20152,,,,,
20170,,,,,
20181,10137,,,,
20183,,,,,
10139,,,,,
10155,,,,,
10156,,,,6208.7,
20195,20197,,,,
10160,,,,,
10161,10162,,,,
10163,10164,,,,
10165,,,,,
10167,,,,,
20216,,,,,
10171,,,,,
20225,,,,,
10178,,,,,
20228,10180,,,,
20235,,,,6392,
20253,,,,,
20258,,,,,
10224,,,,,
10225,10226,,,,
20268,,,,,
20266,,,,6625,
10238,,,,,
10239,,,,,
20284,20285,,,,
10244,20287,,,,
10248,,,,,
10249,,,,,
10250,,,,,
10259,,,,,
20308,10271,,,,
10281,,,,,
10284,,,,,
20319,,,,,
10286,,,,7475.4,
20324,20325,,,,
20327,20329,,,,
20331,,,,,
20342,,,,,
20344,,,,,
10310,,,,7671.7,
10311,,,,,
10312,,,,,
20365,,,,,
20367,,,,,
20376,,,,,
20378,20379,,,,
10346,,,,8056,
10349,,,,,
20391,,,,8077.2,
20398,,,,8096.5,
20402,,,,8134.3,
20404,,,,8136.3,
20408,,,,,
10367,,,,,
10380,,,,,8223.1
10381,,,,,
10382,,,,,
10383,20420,,,,
10389,,,,8274,
10416,,,,8477.4,
10417,,,,8481.7,
10418,,,,8485.4,
10419,20443,,,,
10420,,,,,
10429,20454,,,,
10430,,,,,
10433,10434,,,,
10436,,,,,
10439,,,,,
20468,10440,,,,
10441,20471,,,,
20477,,,,,
10455,,,,8682,
10456,20484,,,,
10463,,,,,
20497,,,,,
10474,,,,,
10482,,,,,
10485,,,,8945,
10486,,,,,
10498,,,,9016.7,
20536,,,,,
20539,,,,9128,
10519,,,,,
20517,20519,,,,
20543,20544,,,,
20545,,,,,
10538,,,,,
10540,,,,,
20564,,,,,
10547,,,,,
10580,,,,,
10583,,,,11894,
10585,,,,11905.3,
10592,,,,11962.4,
10596,,,,,
10597,,,,,
20623,,,,,
20628,,,,,
10636,,,,,14277.1
10648,,,,,14351.4
10649,,,,14353,
10650,,,,,
10651,,,,,
10652,,,,14369.9,
10653,,,,14374.9,
10657,20653,,,,
10668,,,,,
10673,,,,,
10674,,,,,
10677,,,,,
10679,,,,,20082.6
10680,,,,,
10681,,,,,
10687,,,,20124.8,
10689,,,,,
10700,,,,20190.5,
20697,,,,,
20698,10703,,,,
10714,,,,20254.2,
10715,,,,,
20706,20707,,,,
10717,,,,,
10718,,,,,
10719,,,,,
10729,20724,,,,
10736,,,,,
20733,,,,20372.1,
10740,,,,,
10743,,,,,
10745,,,,,
20746,,,,,20441.6
20748,10753,,,,
10754,,,,,
10758,,,,,
10760,,,,,
10761,,,,,
10762,,,,,20493
10767,,,,,
20781,20782,,,,
10786,,,,,
10723,,,,,
10724,,,,,
,,,,2878,2879.25
,,,,2952.1,2952.9
,,,,3000.5,3001.1
,,,,3151.8,3153.4
,,,,3199.2,3199.7
,,,,6201,6202
,,,,6196,6196.5
,,,,6246.4,6247.8
,,,,8083.7,8084.9
,,,,8085.8,8087.3
,,,,8088.5,8092.7
,,,,8128,8132.5
,,,,8555.9,8557
,,,,8661.8,8664.4
,,,,8679.5,8681
,,,,8722.2,8723.2
,,,,9008.4,9009.5
,,,,11890.4,11893
,,,,20047,20049.5
,,,,20098,20101.7
20084,,,,,
10780,,,,,20608.1
20788,,,,,20652
20796,,,,20674.7,
20798,10796,,,,
10808,,,,,
,,,,20751.9,20757.5
,,,,20760.7,20762.4
10814,,,,,20770.5
,,,,20822.5,20825
20825,,,,,
,,,,20870.25,20871.25
,,,,20872.2,20872.75
,,,,20874,20876.75
,,,,20887.2,20889.8
20835,20838,,,,
20840,,,,,
,,,,21015.25,21017.5
,,,,21019.9,21021.75
10862,,,,,
,,,,21052.9,21055.5
,,,,21132.6,21134.9
10872,,,,21138.1,
10874,,,,,
10875,,,,,
,,,,21162.8,21164.2
,,,,21203.4,21206
,,,,21210.4,21212.1
,,,,21215.75,21222.5
,,,,21223.25,21226
,,,,21226.75,21229.6
,,,,21232.6,21235.9
10890,,,,,
10892,,,,,
,,,,21247.25,21249.1
,,,,21334.3,21337.6
,,,,21353.9,21355.75
,,,,21360.5,21363.7
,,,,32765.4,32766.7
,,,,21367.5,21369.2
,,,,21390.9,21393
,,,,21448.4,21450.9
10928,,,,,
,,,,21484,21485.75
20935,,,,,
,,,,21557.3,21558.3
,,,,21585.7,21587
,,,,21589,21593.75
,,,,21596.4,21599
20957,,,,,
10972,,,,,
10974,,,,,
20969,,,,,
10981,,,,,
,,,,21829.8,21831.6
10983,,,,,
20987,,,,,
,,,,21994.9,21996.2
11031,,,,,
,,,,22168.6,22169.75
,,,,22285.7,22287.1
,,,,22398.3,22401.3
11061,,,,,
11063,,,,,
,,,,22539,22540
,,,,22628.2,22628.7
21031,,,,,
,,,,22673.4,22674
21042,,,,,
,,,,22921.9,22922.5
,,,,22927.8,22928.5
21049,,,,,
,,,,22970.2,22971.7
,,,,23067.8,23068.9
21069,,,,,
11175,,,,,
,,,,25824.5,25825.2
,,,,25832.7,25834.3
11197,,,,,
,,,,25970.9,25973.5
,,,,25974.8,25976.4
11199,,,,,
,,,,25984.9,25985.6
11202,,,,,
,,,,25999.7,26001.6
,,,,26006.7,26009.25
11205,,,,,
,,,,26016.1,26017.9
,,,,26025.4,26029
11209,,,,,
11211,,,,,
21145,,,,,
11226,,,,,
,,,,26127,26129.8
21155,,,,,
,,,,26137.5,26139
21157,,,,,
21159,21160,,,,
11231,,,,,
21163,,,,,
,,,,26179.3,26181.8
,,,,26182.8,26184.2
11238,,,,,
,,,,26224.9,26225.5
,,,,26234.3,26234.8
,,,,26272.4,26274.3
,,,,26283.5,26286.1
21194,,,,,
11283,,,,,
,,,,26426.1,26429
,,,,26431.9,26433.9
,,,,26449.9,26452.5
,,,,26464.7,26468.1
,,,,26473,26473.7
11294,,,,,
21220,,,,26484.25,
11302,,,,,
21227,,,,,
,,,,26606.6,26610.3
21234,,,,,26619.1
,,,,26656,26656.6
21244,,,,,
,,,,26773.4,26776.7
,,,,26780,26783.7
,,,,26786,26789.5
,,,,26790.8,26792.4
21259,,,,,
21263,,,,,
,,,,26811,26813.6
,,,,26829.9,26833.5
,,,,26834.1,26835.1
,,,,26840.4,26843.3
11361,,,,,
11370,,,,,
,,,,26904,26905.7
,,,,26919.3,26921.7
11404,,,,,
11409,,,,,
11410,,,,,
11411,,,,,
,,,,27180.2,27182
,,,,27186.6,27189
,,,,27192.5,27194.8
,,,,27231.8,27233.3
,,,,27244.4,27246
,,,,27247.8,27250.2
,,,,27252.8,27253.8
,,,,27302,27304.2
,,,,27306.7,27309.4
,,,,27318.2,27319.6
21338,,,,,27324.2
11440,,,,,
21349,,,,,
,,,,27433.8,27435.7
,,,,27440.4,27441.7
,,,,27651.5,27652.9
11491,,,,,
,,,,27666.5,27668.6
21381,,,,,
,,,,27852.4,27855.7
21389,,,,,
,,,,27860.4,27862
,,,,27864.3,27865.3
,,,,27906.9,27908.1
,,,,27974.5,27975.6
11534,,,,,
,,,,27979,27979.6
,,,,27980.1,27981
,,,,28013.3,28014.1
,,,,28018.7,28021.9
11542,,,,,
,,,,28048.9,28049.6
,,,,28088.6,28090.1
21427,,,,,
21430,,,,,
,,,,28145.7,28147.1
,,,,28164.7,28165.5
,,,,28170.4,28172.6
,,,,28220.9,28221.7
,,,,28222.1,28225.4
,,,,28252.2,28253.5
,,,,28264,28264.6
21455,,,,,
11588,,,,,
,,,,28419.6,28423
,,,,28426.3,28427.4
,,,,28503.6,28504.3
,,,,28504.7,28505.1
,,,,28530.7,28534.3
,,,,28535.3,28538.4
,,,,28539.5,28541.3
,,,,28544.7,28546
,,,,28547,28547.6
11640,,,,,
,,,,28845.5,28848
,,,,28855.3,28856.25
,,,,28859.5,28860.75
,,,,28861.5,28862.5
21503,,,,,
,,,,31232.9,31233.75
,,,,31345.25,31346.6
,,,,31348.5,31349.5
21516,,,,,
,,,,31363.9,31368.1
,,,,31370.6,31372.25
,,,,31392.25,31393.1
,,,,31396.4,31401
,,,,31406.1,31407.75
,,,,31425.4,31427.2
,,,,31433.3,31436.3
,,,,31468.2,31471.1
,,,,31471.5,31476.8
,,,,31525.3,31527.8
,,,,31533.25,31535.2
,,,,31557.3,31561.3
21557,,,,,
,,,,31568.3,31570.2
,,,,31570.8,31573.4
,,,,31582.2,31587
21569,,,,,
,,,,31613.5,31616.3
21576,,,,,
,,,,31621.2,31625.6
,,,,31626.4,31628.8
,,,,31632.6,31636
,,,,31651.9,31652.4
,,,,31657.8,31662.6
,,,,31664.2,31667.2
21597,,,,,
,,,,31675.7,31676.75
11715,,,,,
,,,,31743.9,31746
,,,,31752,31754
,,,,31770.1,31774.2
,,,,31779.7,31782.3
,,,,31802,31805.3
,,,,31808.6,31811
,,,,31812.9,31815
11740,,,,,
,,,,31834.8,31837.6
,,,,31839,31840.2
,,,,31842,31845.3
,,,,31867.75,31869
,,,,31871,31873.2
,,,,31878.9,31881.3
,,,,31886.6,31889.8
,,,,31898.9,31901.1
,,,,31946.4,31947.6
,,,,31949.3,31950.1
,,,,31950.5,31951.5
,,,,31953.8,31956.5
,,,,31960.8,31966
,,,,32030.9,32033.1
,,,,32037.4,32040.3
,,,,32045.75,32047.3
11779,,,,,
,,,,32134,32136.1
,,,,32136.9,32142.9
11803,,,,,
21706,,,,,
,,,,32217.3,32221.5
,,,,32223,32227.7
11812,,,,,
21720,,,,,
11814,,,,,
11815,,,,,
,,,,32265.5,32266.1
,,,,32267,32269
,,,,32270.7,32274.9
,,,,32283.5,32285.4
21741,,,,,
,,,,32357.2,32361.3
,,,,32373.95,32376.3
,,,,32378.3,32380
,,,,32392.4,32393.7
,,,,32403.6,32411
,,,,32411.7,32414.6
,,,,32417,32424.4
,,,,32430.5,32432
,,,,32434.5,32440
,,,,32453.7,32454.7
,,,,32461.9,32464.5
21786,,,,,
21787,,,,,
11853,,,,,
11854,,,,,
,,,,32481.9,32482.6
