idx_start,idx_end,dt_start,dt_end,t_start,t_end
10013,,,,,
,,,,119.6,121.6
10046,,,,,
10047,,,,,
20020,,,,,
20021,,,,,
,,,,355.6,357.6
,,,,364.15,367.1
20034,,,,,
,,,,419,423.6
20038,,,,,
,,,,1815.6,1817.2
20045,,,,,
10080,,,,,
,,,,1845.1,1848
20053,,,,,
20054,,,,,
20058,,,,,
20059,,,,,
,,,,1908.75,1913
,,,,1914.4,1916.5
,,,,1917.5,1919
,,,,1922.5,1925.9
,,,,1927.4,1929.3
20090,,,,,
,,,,2126.1,2127.9
10123,,,,,
10124,,,,,
,,,,2181,2182.4
20099,,,,,
,,,,2187.6,2189.2
,,,,2192.2,2193.6
10134,,,,,
10154,,,,,
10155,20107,,,,
20141,,,,,2672
20142,,,,,
10204,,,,,
20144,,,,,
,,,,2686.75,2689.6
10206,,,,,
,,,,2728,2730
,,,,2736.25,2739.2
,,,,3654.4,3656.6
20218,,,,,
10328,,,,,
10388,,,,,
10389,,,,,
,,,,4462.4,4463.8
20292,,,,,
20293,,,,,4934
10448,,,,,
,,,,4937.3,4939.2
10529,,,,,
10530,,,,,
,,,,8050,8051.5
,,,,8394.8,8397.7
,,,,8398.8,8401.1
,,,,8443.7,8445.2
,,,,8452.8,8455
,,,,8455.8,8456.75
,,,,9074.8,9076.7
,,,,9078,9080
10660,,,,,
,,,,9297.9,9300.6
,,,,9301,9304.8
,,,,9307.3,9309.7
