idx_start,idx_end,dt_start,dt_end,t_start,t_end
20005,,,,,
20006,,,,,
10018,,,,,
10017,,,,,
20023,,,,,
20027,,,,4414.1,
10043,,,,,
20034,,,,4489.6,
20035,,,,,
20037,,,,,
10064,,,,,
,,,,6098,6103.8
20064,20065,,,,
10096,,,,,
10106,,,,,
20076,,,,,
20079,20080,,,,
,,,,6846.7,6850.5
20097,10154,,,,
10155,,,,,
20116,20118,,,,
10197,,,,11203.5,
20126,,,,,
10199,,,,,
,,,,11223.8,11225.6
20135,20136,,,,
20137,,,,11285.4,
,,,,11403.8,11404.3
10225,20150,,,,
20151,,,,11415,
10228,,,,11422.8,
20158,,,,,
20163,20166,,,,
10237,,-0.2,,,
10241,,,,,
10240,,,,,11520.5
20176,20177,,,,
,,,,11678,11681.6
,,,,11687.6,11690
20184,,,,,
20195,,,,,11998.2
20199,,,,,
10373,,,,,
10374,,,,15744.7,
10380,20235,,,,
,,,,15821.5,15823.5
10383,,,,,
,,,,16047.3,16048.5
20258,,,,,
10436,,,,,
,,,,16207.6,16208.5
20276,,,,,16245
20278,,,,16247.5,
10444,,,,,
20283,,,,,16307.7
,,,,16308.4,16309.2
20298,10473,,,,
20295,,,,,16466
20297,,,,16467.4,
20306,,,,16516,
20307,,,,,16524.2
10483,,,,,
10484,20311,,,,
20312,10485,,,,
10492,,,,16608.75,
10493,,,,,16619.5
10496,,,,16635.3,
10495,,,,,16633
10535,,,,,
10534,,,,,16884.5
10537,,,,,16904.1
10538,,,,16907.35,
10542,10543,,,,
20332,,,,,
20334,,,,,17105.7
20335,,,,,17111.2
,,,,17112.4,17112.9
20337,,,,,
10554,,,,,17132
10555,,,,,
,,,,17360,17363.5
20353,,,,,
10589,,,,17375,
20365,,,,17559.9,
10612,,,,,
10613,,,,,17574.5
10614,,,,,
10644,,,,17780.1,
,,,,17774.2,17777.4
10729,,,,,
10730,20421,,,,
20446,,,,21198,
10793,10794,,,,
10802,,,,21238,
10804,,,,,21246.7
20455,,,,,
20463,,,,,
10825,,,,,
10843,,,,21534,
20477,,,,,21541.6
,,,,21544,21544.7
10858,,,,,
10868,,,,,
10870,,,,,
20500,,,,,
10886,,,,,
20506,,,,22102,
10915,,,,,22106.9
20515,,,,,
20532,,,,22768.5,
10958,,,,,
10959,,,,,
11026,,,,,
11025,,,,,23315.6
11094,,,,,
11093,,,,,
11095,,,,,
,,,,26720.4,26721.4
20588,,,,26727.9,
20590,,,,,
20593,,,,,
20598,,,,,26851.7
20599,,,,,
11118,,,,,
20608,,,,,
,,,,26953.1,26954.1
11127,,,,26966.2,
20613,11128,,,,
11131,,,,27003.5,
11132,,,,27005,
11133,,,,,
11134,,,,,
11227,,,,,27792.5
11250,11251,,,,
11259,,,,,28074.7
11331,,,,,
11332,,,,29062.5,
11342,,,,,
20744,,,,,
11394,,,,,
11396,,,,32617,
