idx_start,idx_end,dt_start,dt_end,t_start,t_end
20001,,0.5,,,
20005,,,,,
20008,,,,,
10007,,,,,
10008,,,,,
10009,,,,,
10016,,,,,
20025,,,,,
20029,,,,,
20032,,,,,4113.5
20035,,,,,
10022,,,,,4127.5
10027,,,,,
20045,,,,,
10031,,,,,
20053,,1.5,,,
20054,,,,,4230.45
20055,20057,,,4231,
10042,,,,,
10044,,,,,4266.4
10060,,,,,
10070,,,,,
20084,,,,,
20086,,,,,
20088,,,,,
20092,,,,,
10100,,,,,
10111,,,,,
10112,,,,,
20105,,,,,
20109,,,,,
10129,,,,,
10131,,,,,
20119,,,,,
10137,20122,,,,
20125,,,,,
,,,,7089.3,7091.3
10146,20134,,,,
10145,,,,,
10150,,,,,
20143,,,,,
20145,,,,,
20151,,,,,
20152,,,0.5,,
,,,,7410.9,7412.5
,,,,7415.9,7417.1
20159,,,1.5,,
20162,,,1.4,,
,,,,7597.1,7597.8
20172,10172,,,,
20180,10180,,,,
10178,,,2,,
,,,,7885.7,7886.5
10181,,,,,
10185,20191,,,,
20197,,,,,
20199,,,,,
20201,,,,,
20204,,,,,
10193,,,,,
10195,,,,,
10197,,,,,
,,,,8058.7,8060.5
20218,,,,,
,,,,8068.5,8071.5
10202,,,,,
10205,,,,,
10206,,,,,
10207,,,,,
10208,,,,,
20236,,,,,
,,,,8133.9,8134.4
10216,,,,,
20246,,,,,
10222,,,,,
20258,,,,,
20263,,,,,
20267,,,,,
10235,,,,,
20277,,,,,
,,,,8289.5,8290.25
20280,,,,,
10245,,,,,
20287,,,,,
10248,,,,,
10250,,,,,
10252,,,,,
,,,,8380.5,8385.2
10273,,,,,
10274,,,,,
10275,10276,,,,
10278,,,,,
10282,,,,,
20321,,,,,
10290,,0.5,,,
10291,,,,,
10294,,,,,
10296,,,,,
20338,,,,8546.5,
20339,,,,,
10307,,,,,
,,,,8596.3,8600.5
10312,,,,,
10315,10316,,,,
10317,,,,,
20370,,,,,
20372,,,,,
10334,,,,,
20378,,,,,
20382,,,,,
20383,,,,,
20385,,,,,
20391,,,,,
20393,20395,,,,
10356,,,,,
20404,,,0.5,,
20407,,,,,
,,,,8934.5,8939.2
20416,20417,,,,
10375,,,,,
20423,,,,,
20429,20431,,,,
10387,,,,,
10393,,0.5,,,
10396,,,1,,
20445,,,,,
20451,20452,,,,
,,,,9456.7,9459.5
,,,,11801,11807
20473,,,,,
20478,20481,,,,
10444,,,,,
,,,,12470.6,12472.6
,,,,12473.7,12476.5
20492,,,,,
20494,,,,,12483.6
10454,,,,,
20497,,,,,
20506,,,,,
20513,,,,,
10474,,,,,
10480,,,0.5,,
20521,,,,,
10486,,,,,
10490,,,,,
20535,,,,,
20537,20538,,,,
20539,,,,,
10505,,,,,
20547,,,,,
20551,,,,,
10510,,,,,
10512,,,,,
10516,,,,14559,
20562,,,,,
20569,20570,,,,
20572,,,,,
10534,,,,,
10538,,,,,
20589,,,,,
10541,,,,,
10547,,,,,
20597,20598,,,,
10551,,,,,
20610,,,,,
20612,,,,,
20621,,,,,
20625,,0.2,,,
20626,,,,15076.4,
20628,,,,,
20630,,,,,
10592,,,,,
10597,,,,,
10598,,,,,
10599,,,,,
10600,,,,,
10601,,,,,15170.5
10602,,,,,
10603,,,,,
10604,,,,,
10609,,,,,
10610,,,,,
20661,,,,,
20667,,,,,
10618,,,,,
20673,,,,,
20679,,,,,
20683,,,0.7,,
20684,,,,,
,,,,15374.5,15376.5
10634,,,,,
20693,,,,,
20694,,,,,
20697,,,,,
20698,20699,,,,
20705,,,,15458.9,
20708,,,,,
10648,,,,,
10650,,,,,
20731,,,,,
20732,,,,,
20736,,,,,
20737,,,,,
10677,,,,,
20745,,,,,
20750,,,,,
20756,,,,,
20760,,,,,
20767,,,,,
10698,,,,,
20771,,,,,
20772,,,,,
20778,,,,,
20780,,,,,
10724,,,,,
20789,,,,,
20793,,,,16127.5,
20798,10741,,,,
20808,,,,,
,,,,16260.5,16261.5
20809,,,,,
10753,,,,,
20814,,,,,
10755,,,,,
,,,,16427.5,16428.2
10761,,,,,
10760,,,,16426,
20838,,,,,
20842,,,,,
20843,20847,,,,
10783,,,,,
,,,,16795,16795.5
,,,,16796.2,16796.7
20857,,,,,
20863,,,,,
,,,,16775.6,16776.35
,,,,16777.3,16780.4
,,,,16781,16782.2
,,,,16784.2,16784.8
20865,,,,,
10803,,,,,
20870,,,,17012.4,
20877,,,,,
10807,,,,,
20881,,,,,17030
10809,,,,,
10810,,,,,
20888,,,,17047.5,
20890,,,,,
10813,,,,,
10816,,,,,
20901,,,,,
10821,20902,,,,
10825,20905,,,,
20908,,,,,
10827,,,,,
10835,,,,,
10838,,,,,
20922,,,,,
,,,,17296.4,17297
20924,,,,,
20926,,,,,17362
20939,,,,,
,,,,17552.5,17556
10886,20942,,,,
10897,,,,,
20957,20958,,,,
20961,20962,,,,
20965,,,,,
10914,,,,,
,,,,25425.2,25429.1
10918,,,,25430.4,
20981,20982,,,,
10924,,,,,
,,,,25502.4,25504.5
10930,,,,,
20997,,,,,
10932,,,,,
21006,21007,,,,
10947,,,,,
10949,,,,,
21018,,,,,
10959,,,,,
10966,21034,,,,
,,,,25780.3,25780.8
21037,,,,,
21040,,,,,
21042,21044,,,,
10979,,,,,
21051,21050,,,,
21047,21049,,,,
21057,,,,,
21059,,,,,
21062,,,,,
21067,,,,,
21070,,,,,
21071,,,,,
,,,,26091.4,26094.4
21077,,,,26100.2,
21081,,,,,26115.6
21084,11003,,,,
21089,,,,,
21093,,,,,
,,,,26144,26144.6
21095,21096,,,,
11009,,,,,
,,,,26167.7,26170.8
11011,,,,,
,,,,26177.8,26178.6
21104,,,,,
21106,,,,,
11014,,,,,
21116,,,,,
,,,,26347.2,26349.5
21126,,,,,
21127,,,,,
11035,,,,,
21134,,,,,
21137,,,,,
21138,,,,,
21144,,,,,
21149,,,,,
11045,,,,,
21152,,,,,
11048,,0.5,,,
21157,,,,,
21160,,,,,
21169,,,,,
,,,,27152,27152.6
11093,,,,,
21188,,,,,
21189,,,,,
11095,,,,,
21194,,,,,
21203,,,,,31275.5
,,,,31279,31279.8
11135,,,,,31285
,,,,31475.5,31477.7
,,,,31478.3,31479
11155,,,,,
11159,,,,,
,,,,31548,31549.1
21224,,,,,
,,,,31581.6,31583.4
11166,,,,,31617
11167,,,,,
11169,,,,,
11170,,,,31639.3,
21240,,,,,
21243,,,,,
21248,,,,,
11191,,,,,
11194,,,,,
21252,21253,,,,
21260,,,,,
21267,11211,,,,32074.75
,,,,32075.3,32076.3
,,,,32068,32068.6
11215,,,,,
21273,,,,,
11222,21277,,,,
11234,,,,,
11236,,,,,
21295,,,,,
21297,,,,,
20149,10157,,,,
