Val AF1 report for 20201130_logits_reg_n2_train_mass_ss
AF1 67.22/2.08 [0.5] 67.97/2.58 [0.40, 0.54, 0.48, 0.46], F3 80.38/1.51, P3 81.1/ 9.2, R3 81.7/10.1 for v11_1e-2_logits_reg_attractor
AF1 67.50/2.45 [0.5] 67.93/2.64 [0.44, 0.52, 0.52, 0.48], F3 80.26/1.75, P3 80.9/ 9.8, R3 81.8/10.1 for v11_1e-3_logits_reg_attractor_sqrt
AF1 67.18/2.11 [0.5] 67.83/2.72 [0.46, 0.48, 0.52, 0.42], F3 80.00/1.86, P3 80.2/10.0, R3 81.9/ 9.8 for v11_1e-3_logits_reg_norm
AF1 66.79/2.07 [0.5] 67.72/2.13 [0.44, 0.54, 0.56, 0.44], F3 79.90/1.14, P3 80.2/ 9.4, R3 81.8/10.6 for v11_1e-2_logits_reg_norm
AF1 66.63/1.91 [0.5] 67.70/2.84 [0.38, 0.50, 0.50, 0.42], F3 80.11/2.04, P3 79.8/10.0, R3 82.7/10.1 for v11_1e-3_logits_reg_attractor
AF1 66.78/2.50 [0.5] 67.69/2.98 [0.46, 0.52, 0.52, 0.42], F3 79.93/2.09, P3 79.9/10.4, R3 82.2/ 9.7 for v11_1e-2_logits_reg_norm_sqrt
AF1 66.89/2.18 [0.5] 67.54/2.42 [0.42, 0.48, 0.50, 0.48], F3 79.92/1.69, P3 80.7/ 9.4, R3 81.2/10.2 for v11_1e-3_logits_reg_norm_sqrt
AF1 66.95/2.61 [0.5] 67.47/2.83 [0.42, 0.52, 0.52, 0.46], F3 79.69/1.76, P3 80.5/10.1, R3 81.2/10.4 for v11_1e-1_logits_reg_norm
AF1 66.04/2.21 [0.5] 67.17/2.36 [0.46, 0.50, 0.56, 0.42], F3 79.41/1.45, P3 80.6/10.9, R3 81.0/11.4 for v11_1e-2_logits_reg_attractor_sqrt
AF1 66.50/3.20 [0.5] 67.13/3.35 [0.44, 0.50, 0.54, 0.48], F3 79.49/2.24, P3 78.7/10.7, R3 82.7/10.1 for v11_1e-1_logits_reg_norm_sqrt
AF1 66.18/3.23 [0.5] 66.85/3.45 [0.42, 0.52, 0.54, 0.42], F3 79.01/2.24, P3 79.7/11.9, R3 81.3/11.3 for v11_1e-1_logits_reg_attractor
AF1 65.93/2.61 [0.5] 66.77/3.06 [0.46, 0.50, 0.52, 0.46], F3 79.16/2.23, P3 79.8/11.4, R3 81.3/10.9 for v11_1e+0_logits_reg_norm
AF1 65.31/2.52 [0.5] 65.90/2.93 [0.42, 0.48, 0.44, 0.32], F3 78.50/1.85, P3 80.4/11.9, R3 79.9/12.3 for v11_1e-1_logits_reg_attractor_sqrt
AF1 59.48/3.51 [0.5] 61.36/2.10 [0.14, 0.34, 0.24, 0.14], F3 74.42/2.32, P3 83.5/11.7, R3 71.3/17.0 for v11_1e+0_logits_reg_attractor
AF1 0.00/0.00 [0.5] 0.01/0.01 [0.10, 0.10, 0.10, 0.12], F3 0.02/0.03, P3 0.6/ 2.0, R3 0.0/ 0.0 for v11_1e+0_logits_reg_attractor_sqrt
AF1 0.00/0.00 [0.5] 0.00/0.00 [0.10, 0.10, 0.10, 0.10], F3 0.00/0.00, P3 0.0/ 0.0, R3 0.0/ 0.0 for v11_1e+0_logits_reg_norm_sqrt

os.path.join('20201130_logits_reg_n2_train_mass_ss', 'v11_1e-2_logits_reg_attractor'): [0.40, 0.54, 0.48, 0.46],
os.path.join('20201130_logits_reg_n2_train_mass_ss', 'v11_1e-3_logits_reg_attractor_sqrt'): [0.44, 0.52, 0.52, 0.48],
os.path.join('20201130_logits_reg_n2_train_mass_ss', 'v11_1e-3_logits_reg_norm'): [0.46, 0.48, 0.52, 0.42],
os.path.join('20201130_logits_reg_n2_train_mass_ss', 'v11_1e-2_logits_reg_norm'): [0.44, 0.54, 0.56, 0.44],
os.path.join('20201130_logits_reg_n2_train_mass_ss', 'v11_1e-3_logits_reg_attractor'): [0.38, 0.50, 0.50, 0.42],
os.path.join('20201130_logits_reg_n2_train_mass_ss', 'v11_1e-2_logits_reg_norm_sqrt'): [0.46, 0.52, 0.52, 0.42],
os.path.join('20201130_logits_reg_n2_train_mass_ss', 'v11_1e-3_logits_reg_norm_sqrt'): [0.42, 0.48, 0.50, 0.48],
os.path.join('20201130_logits_reg_n2_train_mass_ss', 'v11_1e-1_logits_reg_norm'): [0.42, 0.52, 0.52, 0.46],
os.path.join('20201130_logits_reg_n2_train_mass_ss', 'v11_1e-2_logits_reg_attractor_sqrt'): [0.46, 0.50, 0.56, 0.42],
os.path.join('20201130_logits_reg_n2_train_mass_ss', 'v11_1e-1_logits_reg_norm_sqrt'): [0.44, 0.50, 0.54, 0.48],
os.path.join('20201130_logits_reg_n2_train_mass_ss', 'v11_1e-1_logits_reg_attractor'): [0.42, 0.52, 0.54, 0.42],
os.path.join('20201130_logits_reg_n2_train_mass_ss', 'v11_1e+0_logits_reg_norm'): [0.46, 0.50, 0.52, 0.46],
os.path.join('20201130_logits_reg_n2_train_mass_ss', 'v11_1e-1_logits_reg_attractor_sqrt'): [0.42, 0.48, 0.44, 0.32],
os.path.join('20201130_logits_reg_n2_train_mass_ss', 'v11_1e+0_logits_reg_attractor'): [0.14, 0.34, 0.24, 0.14],
os.path.join('20201130_logits_reg_n2_train_mass_ss', 'v11_1e+0_logits_reg_attractor_sqrt'): [0.10, 0.10, 0.10, 0.12],
os.path.join('20201130_logits_reg_n2_train_mass_ss', 'v11_1e+0_logits_reg_norm_sqrt'): [0.10, 0.10, 0.10, 0.10],

